poemID	poemName	author	description	content
songci_normal_14				塞下秋来风景异|衡阳雁去无留意|四面边声连角起|千嶂里|长烟落日孤城闭|(space)|浊酒一杯家万里|燕然未勒归无计|羌管悠悠霜满地|人不寐|将军白发征夫泪
songci_normal_15	浣溪沙	晏殊	这是一首春恨词。“去年天气旧亭台”说明时间在重复，空间也在重复。就在这单调乏味、作诗饮酒的重复生活中，夕阳西下了，何时能回来呢？表现出词人对人生价值的哲学思考。“无可奈何花落去”，为“夕阳西下”之“无可奈何”。“花落”而“燕来”正可安慰无聊的人生。也是孤独者兼哲学对人生各种问题的进一步思考。“无可奈何花落去，似曾相识燕归来”为千古名句。这首词历来为人称道。	一曲新词酒一杯|去年天气旧亭台|夕阳西下几时回|(space)|无可奈何花落去|似曾相识燕归来|小园香径独徘徊
songci_normal_16	浣溪沙	晏殊	这是一首伤别的词作。起调便点明人生有限，即使是平常的离别，总少不了的要设筵饯行，不要嫌这样的场合太频。此与王维“劝君更尽一杯酒”含意相同。下阕抒情。与其空怀念远方的河山，不如实际一些，珍惜眼前朋友的情谊。末句与“酒筵歌席莫辞频”响应，表达了一种人生无奈、自寻解脱的主张。“满目山河空念远，落花风雨更伤春”为名句。词中表现的反“海内存知己，天涯若比邻”之常规思维的抒情手法，颇有新意。	一向年光有限身|等闲离别易消魂|酒筵歌席莫辞频|(space)|满目山河空念远|落花风雨更伤春|不如怜取眼前人
songci_normal_17	蝶恋花	柳永	这是首伤别念远词。上阕寓情于景。用“风细细”点化，独立高楼，境界超越。“春愁”而可“望极”，并觉“黯黯生天际”，画出伊人思念成痴的心迹。“无言”之悲愤，最凄绝而沉痛。“拟把疏狂图一醉”，无可奈何以至疯狂的压抑忿懑之态可掬；“对酒当歌，强乐还无味”，写尽人生忧患体验；“衣带渐宽”两句将全部不幸承担，终无悔意。最后两句，王国维指想成就大事业、大问者必经的第二种境界。“衣带渐宽终不悔，为伊消得人憔悴”遂成千古绝唱。	伫倚危楼风细细|望极春愁|黯黯生天际|草色烟光残照里|无言谁会凭栏意|(space)|拟把疏狂图一醉|对酒当歌|强乐还无味|衣带渐宽终不悔|为伊消得人憔悴
songci_normal_18	八声甘州	柳永	这是柳永写羁旅失意客中思家的代表作之一。上阕铺写深秋景象，“霜风”三句，以领字“渐”导引，表达出时间之推移并展开空间的层次和深度。“长江水无语东流”更增无穷伤感，耐人寻味。下阕直抒乡愁。“想佳人”这几句，叹已之飘泊，以悬想对方之思我比较，相思没有落空，感情缠绵悱恻。思妇几次把别人的船只误认为是丈夫的，几至神魂错乱。此种盼望丈夫归来入痴入迷的执著，具有特殊的感染力和表现力。	对潇潇暮雨洒江天|一番洗清秋|渐霜风凄紧|关河冷落|残照当楼|是处红衰绿减|苒苒物华休|惟有长江水|无语东流|(space)|不忍登高临远|望故乡渺邈|归思难收|叹年来踪迹|何事苦淹留|想佳人|妆楼颙望|误几回|天际识归舟|争知我|倚阑干处|正恁凝愁
songci_normal_19	桂枝香	王安石	这是王安石罢相后所作。“登临送目”，总启全章。上阕写登临金陵故都之所见。“澄江”、“翠峰”、“征帆”、“斜阳”、“酒旗”、“西风”、“云淡”、“鹭起”，依次勾勒水、陆、空的雄浑场面，境界苍凉。下阕写在金陵之所想。“蓬”字作转折，今昔对比，时空交错，虚实相生，对历史和现实，表达出深沉的抑郁和沉重的叹息。“六朝旧事如流水，但寒烟、衰草凝绿”为一篇之眼。全词情景交融，沉郁悲壮。	登临送目|正故国晚秋|天气初肃|千里澄江似练|翠峰如簇|征帆去棹斜阳里|背西风|酒旗斜矗|彩舟云淡|星河鹭起|画图难足|(space)|念往昔|繁华竞逐|叹门外楼头|悲恨相续|千古凭高|对此谩嗟荣辱|六朝旧事随流水|但寒烟|衰草凝绿|至今商女|时时犹唱|《后庭》遗曲
songci_normal_20	临江仙	晏几道	此词写别后故地重游，引起对恋人的无限怀念。上阕描写人去楼空的寂寞景象，以及年年伤别的凄凉。“去年春恨”“来时”，正是与“小初见”的良辰；今年再来时，尽管又是落花时节，然而只有斯人独立，佳人已去。微雨中双飞的燕儿，似在嘲笑此人的孤独寂寞。下阕追忆初见小蘋温馨动人的一幕。“记得”以下三句“两重心字”既写“罗衣”装饰，又暗示与恋人的默契。“琵琶弦上说相思”足见其一见如故、互为知音的情谊。	梦后楼台高锁|酒醒帘幕低垂|去年春恨却来时|落花人独立|微雨燕双飞|(space)|记得小蘋初见|两重心字罗衣|琵琶弦上说相思|当时明月在|曾照彩云归
songci_normal_21	鹧鸪天	晏几道	这首词写作者与一相恋歌女别后相忆及久别重逢而重逢时怀疑是梦的惊喜的感情经历。“彩袖”本身不能“殷勤”，这是突出对舞女服装的感官印象的写法。并对“捧”的动作进行强调。“拚却”，用坚定的语气表示为知己者饮，舍命一醉的真诚。“几回魂梦与君同”进一步强调互为知己的友情。得以相逢而疑在梦中，也是写极度兴奋的心理。全词由昔日之真实到梦幻，又由梦幻变成现实，至真反又疑梦，凸现恋情之深和其中的况味。	彩袖殷勤捧玉钟|当年拚却醉颜红|舞低杨柳楼心月|歌尽桃花扇底风|(space)|从别后|忆相逢|几回魂梦与君同|今宵剩把银釭照|犹恐相逢是梦中
songci_normal_22	卜算子·送鲍浩然之浙东	王观	此词送别友人，构思新颖。没有送别情境的刻画和别情依依的渲染，开头便着眼于山、水。水是横着的眼波，山是皱着的眉头，将离人的形象放得无穷大，以眉眼盈盈喻山川之美，故乡山河之美。将人之眉眼与自然山水两组意象重复叠加，在艺术表现上很有特色。上阕将“送君归”与“送春归”叠合，忽生“到江南赶上春”的奇想，又叮嘱：“千万和春住”。一扫千古惜春佳句，独具创新之佳妙。	水是眼波横|山是眉峰聚|欲问行人去哪边|眉眼盈盈处|(space)|才始送春归|又送君归去|若到江南赶上春|千万和春住
songci_normal_23	浣溪沙徐门石潭谢雨道上作	苏轼	《浣溪沙》是苏轼43岁（1078）在徐州任太守时所作。那年春天，徐州发生了严重旱灾，作为地方官的苏轼曾率众到城东二十里的石潭求雨。得雨后，他又与百姓同赴石潭谢雨。这组词就是在赴徐门石潭谢雨路上写成的。	蔌蔌衣巾落枣花|村南村北响缫车|牛衣古柳卖黄瓜|(space)|酒困路长惟欲睡|日高人渴漫思茶|敲门试问野人家
songci_normal_24	水龙吟	苏轼	这是一首咏物之作。开头一句“似花还似非花”抓住了杨花的特点，接着以“无人惜”的意脉贯下，提起“无情有思”一篇精神。由此开始，将杨花喻为美人，她正在梦中“随风万里”，寻找情郎的游踪。上阕体物，花与人糅合，饱含情愫。下阕就杨花事议论抒情。“不恨”三句，突出伤春幽恨。花已飘落，断无重上枝头之望，最令人伤感。晓雨过后的杨花令人心寒。那流水中化为一池的浮萍，仔佃辨认，不是杨花，分明是离人点点滴滴的眼泪！	似花还似非花|也无人惜从教坠|抛家傍路|思量却是|无情有思|萦损柔肠|困酣娇眼|欲开还闭|梦随风万里|寻郎去处|又还被|莺呼起|(space)|不恨此花飞尽|恨西园落红难缀|晓来雨过|遗踪何在|一池萍碎|春色三分|二分尘土|一分流水|细看来不是杨花|点点是|离人泪
songci_normal_25	卜算子	苏轼	此词咏孤雁，寄托自己的情思。特点是人和鸿两个形象融为一体。上阕写静夜鸿影、人影两个意象融合在同一时空，暗示作者以雁咏人的匠心。下阕写孤鸿飘零失所，惊魂未定，却仍择地而栖，不肯同流合污。主要写孤雁心有余悸的凄惨景况和坚持操守的崇高气节。透过“孤鸿”的形象，容易看到词人诚惶诚恐的心境以及他充满自信、刚直不阿的个性。	缺月挂疏桐|漏断人初静|谁见幽人独往来|缥缈孤鸿影|(space)|惊起却回头|有恨无人省|拣尽寒枝不肯栖|寂寞沙洲冷
songci_normal_26	定风波	苏轼	这是一首即兴感怀之作。“穿林打叶”指雨急风骤；“何妨”，是我行我素；吟啸，徐行，指态度从容。“竹杖芒鞋”是平民生涯；骑“马”是官宦气派。“一蓑烟雨任平生”，在风雨中行走，乃平生常风，任其自然，有何可怕？表露“我心坦然”的态度。“也无风雨也无晴”，将全词意境和情绪作一总收束。通过冒风雨前行的活动经历，悟出人生哲理，表明处世态度。	莫听穿林打叶声|何妨吟啸且徐行|竹杖芒鞋轻胜马|谁怕|一蓑烟雨任平生|(space)|料峭春风吹酒醒|微冷|山头斜照却相迎|回首向来萧瑟处|归去|也无风雨也无晴
songci_normal_27	临江仙	苏轼	这是一首即事抒情之作。上阕叙事，着意渲染其醉态。写夜醉回到居所，家童已睡熟，无人开门，只得“倚杖听江声”。酒后静立于夜深的长江边，很容易触发联想。下阕就写酒醒时的思想活动，几经挫折，受尽冤屈；满腹才华，却落得获罪流放的下场。躲开名利场，乘坐扁舟，归隐江湖。全词写景、叙事、抒情、议论水乳交融。语言畅达，格调超逸。	夜饮东坡醒复醉|归来仿佛三更|家童鼻息已雷鸣|敲门都不应|倚杖听江声|(space)|长恨此身非我有|何时忘却营营|夜阑风静縠纹平|小舟从此逝|江海寄馀生
songci_normal_28	水调歌头	苏轼	这首词上阕由新建之亭及亭前景象忆及早年在扬州平山堂见到的山光水色。由此及彼展开思路，对先师的怀念，对快哉亭前风景与平山堂前风光相似之观感，还隐隐透露今日词人遭厄运与当年醉翁受挫。下阕写亭前所见长江景观。所以全篇之要旨在下阕。其以“风”为线索，突出浪中“白头翁”形象，“忽然浪起掀舞，一叶白头翁”两句更是突出地刻画了一个不怕风吹浪打出没于浪涛之间的老船工的形象。此词富于联想象征，写景之中抒发心志，气魄宏大而有感染力量。	落日绣帘卷|亭下水连空|知君为我新作|窗户湿青红|长记平山堂上|欹枕江南烟雨|渺渺没孤鸿|认得醉翁语|山色有无中|(space)|一千顷|都镜净|倒碧峰|忽然浪起|掀舞一叶白头翁|堪笑兰台公子|未解庄生天籁|刚道有雌雄|一点浩然气|千里快哉风
songci_normal_29	蝶恋花	苏轼	这是一首描绘晚春的感怀之作。上阕写暮春自然风光，春去夏来，自然界发生了许多变化。视角由小到大，由近渐远地展开，极富色彩感和运动感。“天涯何处无芳草”，是对暮春景色的描述，又点化游春少年的惆怅。下阕写春游途中的见闻和感想：一道短墙将少年与佳人隔开，佳人笑声牵动少年的芳心，也引起少年之烦恼。“多情却被无情恼”，寄寓着作者自己的失意。有声有色而又婉媚绰约。	花褪残红青杏小|燕子飞时|绿水人家绕|枝上柳绵吹又少|天涯何处无芳草|(space)|墙里秋千墙外道|墙外行人|墙里佳人笑|笑渐不闻声渐悄|多情却被无情恼
songci_normal_30	卜算子	李之仪	这是向对方表示恋情的一首佳作，富有民歌的艺术特色。此作最大成功在于以长江写真情，生发联想，铸为清词丽句，压倒古今多少言情之作。下阕写长江水的无休无止与自己思君不见之“恨”没有停止作对比，深化题意，吐出绵绵情丝，有如长江流水滔滔不绝。全词构思巧妙，语言明白如话，感情真挚朴素，言浅而意深，具有永恒的艺术魅力。	我住长江头|君住长江尾|日日思君不见君|共饮长江水|(space)|此水几时休|此恨何时已|只愿君心似我心|定不负相思意
songci_normal_31	满庭芳	秦观	此词叙写恋人离别时的哀愁。上阕写景，引出别意，妙在“抹”与“粘”两个动词表现出风景画中的精神，显出高旷与辽阔中的冷峻与衰飒，与全词凄婉的情调吻合。接着将“多少蓬莱旧事”消弥在纷纷烟霭之中，概括地表现离别双方内心的伤感与迷茫。“斜阳外”三句宕开写景，别意深蕴其中，下阕用白描直抒伤心恨事，展示自己落拓江湖不得志的感受。结尾三句写船愈来愈远，回首“高城”，只见到昏黄的灯火；内怀无可奈何的别情。本词摹写景物，很能传神达意。	山抹微云|天连衰草|画角声断谯门|暂停征棹|聊共饮离尊|多少蓬莱旧事|空回首|烟霭纷纷|斜阳外|寒鸦万点|流水绕孤村|(space)|销魂当此际|香囊暗解|罗带轻分|漫赢得青楼|薄幸名存|此去何时见也|襟袖上|空惹啼痕|伤情处|高城望断|灯火已黄昏
songci_normal_35	浣溪沙	秦观	这是一首伤春之作。上阕写阴冷的春天早晨，独上小楼，空房内画屏竖立，显得格外清幽。下阕所写眼前景物，待慢慢挂起窗帘，观落花轻飘，细雨蒙蒙，令人触目伤情，描写隽永传神，创造出全词最佳境界。“飞花”、“细雨”，为实写物态；“梦”、“愁”，虚写心境，合而喻之，虚实相生，已臻灵秀之境。作者用“轻描淡写”的笔法，融情入景，明写景，实写人的愁怨。	漠漠轻寒上小楼|晓阴无赖似穷秋|淡烟流水画屏幽|(space)|自在飞花轻似梦|无边丝雨细如愁|宝帘闲挂小银钩
songci_normal_32	鹊桥仙	秦观	这是一首咏七夕的节序词，起句展示七夕独有的抒情氛围，“巧”与“恨”，则将七夕人间“乞巧”的主题及“牛郎、织女”故事的悲剧性特征点明，练达而凄美。借牛郎织女悲欢离合的故事，歌颂坚贞诚挚的爱情。结句“两情若是久长时，又岂在朝朝暮暮”最有境界，这两句既指牛郎、织女的爱情模式的特点，又表述了作者的爱情观，是高度凝练的名言佳句。这首词因而也就具有了跨时代、跨国度的审美价值和艺术品位。	纤云弄巧|飞星传恨|银汉迢迢暗度|金风玉露一相逢|便胜却|人间无数|(space)|柔情似水|佳期如梦|忍顾鹊桥归路|两情若是久长时|又岂在|朝朝暮暮
songci_normal_33	武陵春·春晚	李清照	短幅之中贵有曲折。这首词上阕前两句写春去人愁，后两句直写痛楚。下阕逆锋倒接，略作回旋，然后跌出本意。最后两句以舟载愁的想象，十分别致，前人以为可与苏轼的“欲寄相思千点泪，流不到，楚江东”（《江城子》）相媲美。	风住尘香花已尽|日晚倦梳头|物是人非事事休|欲语泪先流|(space)|闻说双溪春尚好|也拟泛轻舟|只恐双溪舴艋舟|载不动|许多愁
songci_normal_34	如梦令	李清照	这是一首忆昔词。寥寥数语，似乎是随意而出，却又惜墨如金，句句含有深意。开头两句，写沉醉兴奋之情。接着写“兴尽”归家，又“误入”荷塘深处，别有天地，更令人流连。最后一句，纯洁天真，言尽而意不尽。	常记溪亭日暮|沈醉不知归路|兴尽晚回舟|误入藉花深处|争渡|争渡|惊起一滩鸥鹭
songci_normal_36	醉花阴	李清照	这首词是李清照重九佳节为怀念丈夫而写。上阕写半夜枕席上吹来冷气，感到自身孤独。重阳节也在孤独冷寂中度过。下阕写黄昏时在菊圃独饮。词人认为自身正如傍晚的黄菊，伶仃瘦损。“莫道不消魂，帘卷西风，人比黄花瘦”是传诵千古的名句。以菊花自喻别有创意；一个“瘦”字，使一个身体清瘦满面愁容的少妇形象活脱脱浮现出来，且符合词自身内心世界与外在环境，贴切传神。	薄雾浓云愁永昼|瑞脑消金兽|佳节又重阳|玉枕纱厨|半夜凉初透|(space)|东篱把酒黄昏后|有暗香盈袖|莫道不消魂|帘卷西风|人比黄花瘦
songci_normal_37	声声慢	李清照	这首词是李清照晚年流落江南为抒发家国身世之愁而作。这首词最大的特点是成功地运用了叠字。开篇三句十四个叠字，表达出三种境界。“寻寻觅觅”，写人的动作、神态；“冷冷清清”，写环境的悲凉；“凄凄惨惨戚戚”，写内心世界的巨大伤痛。同时，这几对叠字还造成音律的回环往复，加强了词作的音乐性。第二个特点是借物抒情。上阕用“淡酒”、“晚风”、“过雁”，下阕用“黄花”、“梧桐”、“细雨”，都准确而形象地表达出内心的愁情，最后逼出“怎一个愁字了得”的强烈感情，突然作结，沉痛无限。全词语言朴实，感受细腻，巧用叠字，满纸呜咽，动人心弦。	寻寻觅觅|冷冷清清|凄凄惨惨戚戚|乍暖还寒时候|最难将息|三杯两盏淡酒|怎敌他|晚来风急|雁过也|最伤心|却是旧时相识|(space)|满地黄花堆积|憔悴损|如今有谁堪摘|守着窗儿|独自怎生得黑|梧桐更兼细雨|到黄昏|点点滴滴|这次第|怎一个|愁字了得
songci_normal_38	如梦令	李清照	这是一首伤春词。妙在以问答方式、藏问于答，委婉曲折地抒发心中一缕淡淡优伤。人们说李清照词明白如话，这首词就以质朴的口语入词，愈朴愈真。	昨夜雨疏风骤|浓睡不消残酒|试问卷帘人|却道海棠依旧|知否？知否|应是绿肥红瘦
songci_normal_39	满江红	岳飞	这是一首传诵千古的名词，表现出词人以国家存亡为己任的耿耿忠心。在历次民族危亡中，都给人以巨大鼓舞。这首词以义愤填膺的肖像描写开篇，极力展现对北宋灭亡的愤怒。“潇潇雨歇”，壮中寓悲；“三十功名”，回顾自己的战斗生涯；“八千里路”展现自己战斗历程。“莫等闲”三句是对未来的期许，激越悲壮。接下来直陈丧国之痛。“驾长车”数句，表达报仇雪耻的决心。“壮志”“笑谈”一联，运用夸张手法，表示对入侵者彻底战而胜之的信心与豪情，词语之间可听金鼓之鸣，可闻血腥之气，显示出一代英雄的精神风貌。结尾三句，是为前几句作结，也是前几句合乎逻辑的发展与结局，是“壮志”与“笑谈”的余韵。英烈气概烁人，读之令人奋起。	怒发冲冠|凭阑处|潇潇雨歇|抬望眼|仰天长啸|壮怀激烈|十三功名尘与土|八千里路云和月|莫等闲|白了少年头|空悲切|(space)|靖康耻|犹未雪|臣子恨|何时灭|驾长车|踏破贺兰山缺|壮志饥餐胡虏肉|笑谈渴饮匈奴血|待从头|收拾旧山河|朝天阙
songci_normal_40	卜算子·咏梅	陆游	这首词以梅喻人，人阕写梅的处境和遭遇：寂寞无主，还要加上风雨催逼！下阕写梅的气节操守：无意争春，即便是零落成泥，依然保持那一份清香！我们从梅花的命运与品格中不仅可看到词人仕途坎坷的身影，而且读出词人像梅花般冰清玉洁的精神世界。	驿外断桥边|寂寞开无主|已是黄昏独自愁|更著风和雨|(space)|无意苦争春|一任群芳妒|零落成泥碾作尘|只有香如故
songci_normal_41	清平乐·村居	辛弃疾	这首小词近年来各种选本多已入选，有的选本还有简单说明。如胡云翼先生《宋词选》云：这首词环境和人物的搭配是一幅极匀称自然的画图。老和小写得最生动。“卧剥莲蓬”正是“无赖”的形象化。中华书局１９７９年出版的《辛弃疾词选》云：这首词可以说是一幅农村素描。它写得清新活泼，寥寥几笔，就勾画出清溪茅舍一家老小的生动情景，使人仿佛身临其境。俞平伯先生《唐宋词选释》云：本篇客观地写农村景象，老人们有点醉了，大的小孩在工作，小的小孩在玩耍，笔意清新，似不费力。上引诸家之说有一共同特点，即认为这首词对农村景象是在进行客观描述。我却以为词中也反映出作者的主观感情，并非只在纯客观地作素描。基于这个出发点，对词的文句就产生了不同的理解。比如上片第三、四两句，我就认为“醉里”是作者自己带有醉意而不是指农村中的“翁媪”。现将拙作《读词散札》第十二则转引如下：辛弃疾《清平乐·村居》上片云：……胡《选》及俞平伯师《唐宋词选释》本皆以“醉”属诸翁媪，疑非是。此“醉里”乃作者自醉，犹之“醉里挑灯看剑”之“醉里”，皆作者自醉也。若谓翁媪俱醉，作者何由知之？且醉而作吴音，使不醉，即不作吴音乎？“相媚好”者，谓吴音使作者生媚好之感觉，非翁媪自相媚好也。盖作者醉中闻吴语而悦之，然后细视谛听，始知为农家翁媪对话也。此惟夏承焘先生《唐宋词选》初版本注文得其解。（《学林漫录》初集，页一八七。）我以为，从含醉意的作者眼中来看农村的一个生活侧面，比清醒的旁观者在听醉人说吴语要更富有诗意。退一步说，即使读者不同意夏先生和我的关于“醉里”的讲法，则此词下片“最喜”二字的主语也该指作者，总不会是指白发翁媪。可见这首词中作者的心情是开朗喜悦的。	茅檐低小|溪上青青草|醉里吴音相媚好|白发谁家翁媪|大儿锄豆溪东|中儿正织鸡笼|最喜小儿无赖|溪头卧剥莲蓬
songci_normal_42	破阵子·为陈同甫赋壮词以寄之	辛弃疾	这首词是写给他的朋友陈同甫（陈亮）的。首句叙写了现实生活，“看剑”表现他不忘收复中原的大事。从“梦回”句起到“赢得”句止，通过写梦，从各个角度来想象抗金军队的雄壮军容和自己为国家立下不朽功勋。结句笔锋急转，“可怜白发生”是梦醒后的叹息，表达了雄志未筹而年纪以老的境况。这首词闪烁着爱国主义的光辉，情调激昂，描绘生动，形象鲜明，用词精炼，艺术造诣很高。	醉里挑灯看剑|梦回吹角连营|八百里分麾下炙|五十弦翻塞外声|沙场秋点兵|(space)|马作的卢飞快|弓如霹雳弦惊|了却君王天下事|赢得生前身后名|可怜白发生
songci_normal_43	西江月·夜行黄沙道中	辛弃疾	这首词是辛弃疾贬官闲居江西时的作品。着意描写黄沙岭的夜景。明月清风，疏星稀雨，鹊惊蝉鸣，稻花飘香，蛙声一片。词从视觉、听觉和嗅觉三方面抒写夏夜的山村风光。情景交融，优美如画。恬静自然，生动逼真。是宋词中以农村生活为题材的佳作。	明月别枝惊鹊|清风半夜鸣蝉|稻花香里说丰年|听取蛙声一片|(space)|七八个星天外|两三点雨山前|旧时茅店社林边|路转溪桥忽见
songci_normal_44	丑奴儿·书博山道中壁	辛弃疾	这首词是作者带湖闲居时的作品。通篇言愁。通过“少年”时与“而今”的对比，表现了作者受压抑、遭排挤、报国无路的痛苦，也是对南宋朝廷的讽刺与不满。	少年不识愁滋味|爱上层楼|爱上层楼|为赋新词强说愁|(space)|而今识尽愁滋味|欲说还休|欲说还休|却道天凉好个秋
songci_normal_45	水龙吟·登建康赏心亭	辛弃疾	这首词是作者在建康通判任上所作。上阕开头以无际楚天与滚滚长江作背景，境界阔大，触发了家国之恨和乡关之思。“落日楼头”以下，表现词人如离群孤雁、像弃置的宝刀难抑胸中郁闷。下阕用三个典故对于四位历史人物进行褒贬，从而表白自己以天下为己任的抱负。叹惜流年如水，壮志成灰。最后流下英雄热泪。	楚天千里清秋|水随天去秋无际|遥岑远目|献愁供恨|玉簪螺髻|落日楼头|断鸿声里|江南游子|把吴钩看了|阑干拍遍|无人会|登临意|(space)|休说鲈鱼堪脍|尽西风|季鹰归未|求田问舍|怕应羞见|刘郎才气|可惜流年|忧愁风雨|树犹如此|倩何人|唤取红巾翠袖|揾英雄泪
songci_normal_46	永遇乐·京口北固亭怀古	辛弃疾	宋宁宗开禧元年（1205），辛弃疾在京口任镇江知府时年六十五岁，登临北固亭，感叹对自己报国无门的失望，凭高望远，抚今追昔，于是写下了这篇传唱千古之作。这首词用典精当，有怀古、忧世、抒志的多重主题。江山千古，欲觅当年英雄而不得，起调不凡。开篇即景抒情，由眼前所见而联想到两位著名历史人物——孙权和刘裕，对他们的英雄业绩表示向往。接下来讽刺今日用事者（韩胄），又像刘义隆一样草率，欲挥师北伐，令人忧虑。老之将至而朝廷不会再用自己，不禁仰天叹息。其中“佛狸祠下一片神鸦社鼓”写北方已非我有的感慨，最为沉痛。	千古江山|英雄无觅|孙仲谋处|舞榭歌台|风流总被|雨打风吹去|斜阳草树|寻常巷陌|人道寄奴曾住|想当年|金戈铁马|气吞万里如虎|(space)|元嘉草草|封狼居胥|赢得仓皇北顾|四十三年|望中犹记|烽火扬州路|可堪回首|佛狸祠下|一片神鸦社鼓|凭谁问|廉颇老矣|尚能饭否
songci_normal_47	菩萨蛮·书江西造口壁	辛弃疾	宋孝宗淳熙三年（1176），辛弃疾任江西提点刑狱，驻节赣州，登郁孤台而写下这首词。词人先从眺望和联想中，引起对往事的回想和对故土的思念。又以“青山”两句，喻主和派为遮掩恢复之志的“青山”，但它挡不住北伐的呼声。到最后，还是乐不思蜀的鹧鸪占了上风，此鹧鸪是影射最高统冶者。因此，最后词人还是陷在哀愁中。全词由江水起兴，鹧鸪点睛，概括了人民抗敌决心不可阻挡但统治者却大违人心的历史事实。	郁孤台下清江水|中间多少行人泪|西北望长安|可怜无数山|(space)|青山遮不住|毕竟东流去|江晚正愁予|山深闻鹧鸪
songci_normal_48	点绛唇	姜夔	本篇为淳熙十四年（1187）冬，作者前往苏州拜访范成大，途经吴松时所作。先写景。大雁南飞，山峰矗立，显得落寞荒凉，既有着超然出世的淡泊，又有着客子飘流的孤独凄凉。接下来明言欲像陆龟蒙一样隐居。“今何许”突作陡转，“凭阑怀古”承上启下，“残柳参差舞”又陷入一片迷茫萧瑟之中。	燕雁无心|太湖西畔随云去|数峰清苦|商略黄昏雨|(space)|第四桥边|拟共天随住|今何许|凭阑怀古|残柳参差舞
